name
Enomak 
Üçtuğ Müh. Turz.
Giz Teknoloji

"3A Kapı Sistemleri
Ürn.İnş.Elk.San.ve Tic.Ltd.Şti."
Cosylab Control System Laboratory
TeknoPark
Koçoğlu
ARES
TCS Makina-Hırdavat
Info Power
Desy
Zenotek
LFC
Ertsan  Endüstriyel (fayans+batarya yapılacak)
Barış Isıtma-Soğutma
SPARK
OPTOMEK
Zenotek
Kenar Mühendislik
Rohde & Schwarz Elektronik ve Telekomünikasyon Sistemleri 
ARES
Kenar Mühendislik
Zenotek
Ares
Üçtuğ
TeknoPark
Barış Isıtma-Soğutma
ADESİS
Olca
Özdemir
TCS Makina-Hırdavat
Öztürk Medikal  Oguz Öztürk 0312 230 01 75 
Vorterks
SAAS Gmbh
OPTOMEK
Metsim
Sem Bio
A.Ü. BAP LAURIN AG
NEASPEC GmbH
ZENOTEK

AMPTEK INC.
Mettler Toledo
BİLGİBİM BİLGİSAYAR 
Linda Grup
Barış Isıtma
OLCA Enerji 
Spektra
OZAY Grup

Airliquide
OTKON Mühendislik
ERBAYGES

ZENOTEK
Rohde & Schwarz Elektronik ve Telekomünikasyon Sistemleri 
Airliquide
EMK
Gönülsan
MEGA

"Ferrite Microwave Technologies
"
ZENOTEK
Iradets
HVP
Özdemir Petrol
ARES
ARES
ARES
Enomak 

ZENOTEK
ZENOTEK
ATAG MAKİNE
RATEST

Linda Grup
TeknoPark




Linda Grup
Tehnocenter

ADESİS
ADESİS

Hiden Analytical

Boğaziçi Yazılım
ADESİS
ADESİS
Rohde&Schwarz
Nanomanyetik Cihazlar
HAKTAN Grup
ATAG MAKİNE
ATAG MAKİNE
AKTUG (Mustafa Bey: 0532 176 58 79)
ATAG MAKİNE
LİNDA
FİGES
OPTOMEK
MET Isıtma
OLCA
SİSTEK
Cryotherm
Creworker -Bilal Tonga

SAAS Gmbh

Elysium
TCS Makina-Hırdavat


Elysium


Croyocan
Özerbey

Yıldırım
